DateTime,Open,High,Low,Close
2005-09-07,1233.5,1236.5,1231.25,1235.5
2005-09-08,1232.0,1242.75,1232.0,1237.75
2005-09-09,1240.25,1250.25,1240.0,1248.75
2005-09-12,1247.5,1249.25,1245.25,1248.0
2005-09-13,1242.75,1246.75,1238.0,1243.25
2005-09-14,1239.25,1241.5,1234.0,1234.75
2005-09-15,1236.25,1238.5,1230.75,1233.5
2005-09-16,1238.25,1242.25,1235.75,1241.75
2005-09-19,1241.5,1243.0,1234.0,1235.25
2005-09-20,1240.5,1243.0,1228.5,1229.5
2005-09-21,1224.5,1225.25,1215.75,1220.25
2005-09-22,1213.25,1221.75,1210.75,1218.5
2005-09-23,1219.5,1224.75,1215.0,1223.75
2005-09-26,1227.0,1228.5,1216.75,1218.25
2005-09-27,1221.75,1225.0,1216.0,1224.5
2005-09-28,1223.75,1227.0,1217.5,1224.0
2005-09-29,1221.75,1233.0,1216.25,1231.0
2005-09-30,1232.25,1235.0,1230.0,1233.5
2005-10-03,1234.75,1239.0,1229.75,1233.0
2005-10-04,1232.75,1235.5,1223.0,1223.25
2005-10-05,1217.5,1218.5,1206.75,1208.75
2005-10-06,1202.5,1207.0,1192.25,1194.5
2005-10-07,1198.25,1204.75,1195.0,1198.5
2005-10-10,1203.75,1204.25,1190.0,1192.5
2005-10-11,1195.0,1198.0,1188.25,1190.75
2005-10-12,1185.25,1195.0,1177.25,1178.75
2005-10-13,1179.0,1184.0,1171.75,1180.5
2005-10-14,1180.0,1189.5,1178.75,1188.5
2005-10-17,1189.0,1195.75,1187.25,1190.5
2005-10-18,1194.0,1194.0,1183.25,1184.75
2005-10-19,1177.0,1193.0,1173.75,1191.75
2005-10-20,1198.0,1200.5,1186.0,1187.75
2005-10-21,1184.75,1190.0,1177.5,1185.75
2005-10-24,1187.0,1198.75,1185.75,1196.25
2005-10-25,1198.75,1204.75,1191.75,1195.75
2005-10-26,1195.75,1207.25,1195.25,1198.75
2005-10-27,1192.25,1195.5,1184.75,1185.5
2005-10-28,1185.5,1199.5,1183.0,1198.5
2005-10-31,1203.75,1211.75,1203.25,1211.0
2005-11-01,1208.0,1210.5,1204.0,1205.0
2005-11-02,1204.0,1218.0,1202.5,1214.5
2005-11-03,1217.5,1227.75,1217.25,1221.5
2005-11-04,1223.25,1225.75,1216.5,1219.75
2005-11-07,1224.25,1227.0,1219.25,1226.25
2005-11-08,1221.5,1224.5,1218.5,1221.25
2005-11-09,1221.5,1229.5,1218.75,1224.0
2005-11-10,1223.75,1235.5,1217.25,1234.75
2005-11-11,1233.75,1236.75,1233.0,1236.5
2005-11-14,1237.0,1240.25,1234.0,1235.75
2005-11-15,1234.75,1241.0,1229.5,1229.5
2005-11-16,1232.5,1235.25,1229.25,1233.25
2005-11-17,1238.25,1243.0,1235.25,1241.5
2005-11-18,1248.0,1252.25,1242.5,1246.5
2005-11-21,1251.25,1254.5,1248.75,1253.0
2005-11-22,1254.5,1262.5,1253.0,1262.5
2005-11-23,1262.25,1273.0,1260.75,1270.5
2005-11-24,1266.5,1267.5,1265.75,1267.5
2005-11-25,1268.0,1270.75,1266.75,1270.0
2005-11-28,1272.0,1272.25,1260.5,1261.75
2005-11-29,1265.25,1268.0,1259.25,1263.0
2005-11-30,1259.25,1263.0,1253.75,1255.75
2005-12-01,1256.75,1268.0,1256.5,1266.25
2005-12-02,1266.25,1268.25,1262.5,1264.75
2005-12-05,1265.5,1265.75,1259.0,1263.0
2005-12-06,1265.75,1274.5,1265.25,1272.75
2005-12-07,1264.0,1265.5,1253.75,1254.75
2005-12-08,1256.5,1264.75,1251.25,1254.0
2005-12-09,1266.75,1272.5,1262.75,1270.5
2005-12-12,1271.5,1273.0,1263.75,1267.75
2005-12-13,1270.0,1281.5,1267.25,1280.25
2005-12-14,1275.5,1285.0,1274.75,1281.75
2005-12-15,1281.5,1283.75,1275.5,1277.25
2005-12-16,1282.75,1284.5,1276.25,1276.5
2005-12-19,1277.5,1278.75,1268.5,1269.75
2005-12-20,1269.5,1272.0,1264.75,1268.25
2005-12-21,1271.75,1277.0,1267.0,1267.75
2005-12-22,1271.0,1275.0,1270.0,1274.5
2005-12-23,1276.25,1277.75,1273.0,1276.5
2005-12-27,1279.25,1279.75,1263.5,1266.0
2005-12-28,1266.5,1268.25,1263.25,1267.0
2005-12-29,1264.5,1267.75,1263.75,1265.75
2005-12-30,1257.75,1257.75,1252.75,1255.75
2006-01-03,1259.75,1269.5,1251.5,1269.25
2006-01-04,1274.0,1282.25,1274.0,1277.75
2006-01-05,1278.75,1283.25,1275.75,1278.25
2006-01-06,1284.25,1293.0,1281.25,1291.25
2006-01-09,1290.75,1297.5,1290.5,1293.75
2006-01-10,1291.0,1296.5,1289.25,1292.5
2006-01-11,1296.5,1301.0,1293.5,1300.25
2006-01-12,1297.5,1299.0,1291.25,1292.0
2006-01-13,1292.5,1294.75,1287.75,1291.75
2006-01-16,1293.0,1295.25,1292.75,1294.75
2006-01-17,1286.75,1289.75,1283.5,1288.5
2006-01-18,1279.75,1287.75,1276.75,1280.0
2006-01-19,1287.0,1293.0,1283.25,1291.25
2006-01-20,1285.25,1289.0,1268.75,1269.5
2006-01-23,1268.75,1272.75,1266.0,1269.5
2006-01-24,1271.25,1276.25,1268.5,1271.5
2006-01-25,1274.25,1276.0,1262.25,1263.5
2006-01-26,1277.5,1280.75,1271.5,1277.75
2006-01-27,1282.75,1290.5,1277.5,1286.75
2006-01-30,1289.0,1291.75,1287.25,1291.0
2006-01-31,1287.0,1287.75,1279.75,1286.5
2006-02-01,1280.5,1286.5,1280.25,1283.0
2006-02-02,1283.25,1284.25,1270.5,1272.0
2006-02-03,1275.25,1276.5,1263.5,1268.5
2006-02-06,1268.0,1270.25,1264.0,1266.5
2006-02-07,1265.5,1268.75,1256.5,1257.25
2006-02-08,1260.75,1265.5,1257.75,1264.0
2006-02-09,1269.75,1277.75,1269.75,1270.75
2006-02-10,1266.5,1269.75,1257.0,1269.0
2006-02-13,1266.0,1269.25,1260.5,1261.25
2006-02-14,1268.75,1281.5,1263.0,1279.25
2006-02-15,1276.75,1283.75,1272.75,1282.0
2006-02-16,1283.0,1289.0,1282.25,1287.5
2006-02-17,1291.5,1292.25,1286.0,1291.25
2006-02-20,1287.75,1289.0,1287.5,1288.75
2006-02-21,1292.0,1294.25,1283.0,1284.25
2006-02-22,1285.5,1296.0,1285.0,1294.25
2006-02-23,1292.25,1296.0,1286.5,1293.5
2006-02-24,1289.0,1293.75,1287.0,1293.5
2006-02-27,1293.5,1299.25,1292.0,1298.5
2006-02-28,1293.25,1293.75,1280.5,1282.0
2006-03-01,1285.0,1292.25,1283.5,1291.0
2006-03-02,1289.5,1292.5,1284.25,1288.75
2006-03-03,1289.75,1299.0,1280.0,1296.25
2006-03-06,1289.0,1289.75,1276.25,1278.0
2006-03-07,1276.5,1278.5,1271.75,1275.5
2006-03-08,1273.5,1281.75,1268.75,1280.5
2006-03-09,1292.75,1294.0,1284.75,1286.25
2006-03-10,1283.0,1295.5,1281.5,1288.75
2006-03-13,1295.5,1298.75,1292.25,1294.0
2006-03-14,1295.0,1308.5,1293.0,1308.25
2006-03-15,1309.0,1314.25,1305.25,1312.5
2006-03-16,1312.25,1321.5,1312.25,1316.25
2006-03-17,1315.75,1320.75,1314.75,1317.0
2006-03-20,1319.0,1320.75,1313.5,1315.25
2006-03-21,1314.0,1321.5,1306.5,1307.5
2006-03-22,1306.5,1314.25,1305.25,1312.0
2006-03-23,1313.75,1314.25,1307.0,1309.0
2006-03-24,1310.25,1316.25,1307.5,1311.5
2006-03-27,1313.5,1313.5,1307.75,1312.5
2006-03-28,1311.5,1315.5,1303.25,1305.75
2006-03-29,1304.5,1315.0,1302.25,1312.25
2006-03-30,1311.5,1319.25,1304.75,1307.75
2006-03-31,1306.0,1311.75,1302.75,1306.25
2006-04-03,1310.0,1318.0,1308.0,1311.0
2006-04-04,1307.0,1316.0,1302.25,1313.5
2006-04-05,1314.25,1319.75,1312.25,1319.25
2006-04-06,1317.5,1320.5,1310.0,1317.5
2006-04-07,1316.5,1324.0,1302.75,1307.25
2006-04-10,1305.5,1308.75,1300.25,1301.75
2006-04-11,1305.5,1307.75,1292.25,1292.75
2006-04-12,1295.5,1298.25,1293.0,1293.75
2006-04-13,1294.25,1299.25,1289.5,1294.0
2006-04-17,1295.75,1299.25,1286.5,1287.75
2006-04-18,1295.75,1313.25,1295.5,1310.25
2006-04-19,1317.5,1317.75,1308.25,1315.5
2006-04-20,1316.75,1324.75,1311.75,1318.0
2006-04-21,1320.5,1324.0,1312.75,1314.0
2006-04-24,1315.5,1315.5,1309.0,1312.5
2006-04-25,1316.25,1316.75,1304.25,1306.25
2006-04-26,1311.75,1316.5,1308.5,1311.75
2006-04-27,1303.0,1321.0,1300.25,1318.0
2006-04-28,1311.5,1322.0,1311.0,1316.0
2006-05-01,1318.0,1322.5,1316.25,1319.25
2006-05-02,1313.0,1319.0,1311.5,1315.5
2006-05-03,1316.25,1317.0,1308.0,1309.0
2006-05-04,1313.75,1320.0,1311.25,1316.75
2006-05-05,1319.75,1331.25,1319.0,1330.25
2006-05-08,1328.75,1331.0,1326.75,1330.5
2006-05-09,1327.25,1331.0,1326.25,1328.0
2006-05-10,1328.5,1329.75,1320.75,1328.25
2006-05-11,1328.75,1330.5,1308.25,1309.0
2006-05-12,1308.75,1310.0,1296.5,1296.75
2006-05-15,1291.25,1299.0,1288.0,1291.0
2006-05-16,1297.5,1301.5,1291.75,1297.0
2006-05-17,1296.5,1296.5,1270.0,1272.25
2006-05-18,1274.5,1278.0,1271.25,1273.75
2006-05-19,1268.0,1275.5,1258.25,1267.5
2006-05-22,1264.5,1268.75,1255.25,1263.25
2006-05-23,1269.25,1276.5,1267.5,1268.25
2006-05-24,1257.25,1267.0,1246.75,1259.25
2006-05-25,1265.75,1273.75,1263.25,1272.0
2006-05-26,1275.5,1282.75,1274.25,1280.5
2006-05-29,1281.75,1282.0,1279.75,1280.0
2006-05-30,1278.0,1278.75,1266.0,1267.75
2006-05-31,1265.25,1272.25,1261.25,1266.5
2006-06-01,1270.0,1282.75,1269.75,1282.25
2006-06-02,1289.25,1294.0,1281.25,1288.75
2006-06-05,1285.25,1286.75,1271.0,1273.75
2006-06-06,1270.5,1271.75,1255.25,1259.0
2006-06-07,1267.75,1273.75,1261.75,1265.75
2006-06-08,1252.75,1269.25,1245.75,1260.5
2006-06-09,1270.5,1274.25,1261.0,1268.25
2006-06-12,1266.25,1266.75,1253.25,1254.75
2006-06-13,1242.25,1255.25,1235.25,1237.25
2006-06-14,1237.0,1242.75,1229.0,1233.0
2006-06-15,1246.75,1264.25,1244.25,1263.0
2006-06-16,1265.25,1267.5,1256.75,1262.25
2006-06-19,1265.25,1267.0,1247.5,1247.5
2006-06-20,1248.25,1260.0,1247.5,1253.75
2006-06-21,1251.0,1268.5,1250.5,1266.75
2006-06-22,1262.0,1262.25,1251.0,1255.0
2006-06-23,1254.75,1264.0,1251.0,1256.0
2006-06-26,1256.75,1259.5,1253.25,1258.25
2006-06-27,1259.25,1263.25,1248.5,1250.25
2006-06-28,1252.5,1257.0,1246.5,1254.25
2006-06-29,1262.0,1279.75,1261.25,1277.5
2006-06-30,1282.5,1287.25,1279.25,1285.0
2006-07-03,1283.0,1289.75,1282.75,1288.25
2006-07-04,1286.25,1288.25,1286.25,1287.75
2006-07-05,1283.25,1283.5,1274.0,1282.0
2006-07-06,1282.25,1287.5,1279.5,1280.0
2006-07-07,1285.75,1290.0,1272.0,1272.5
2006-07-10,1279.5,1282.75,1272.5,1273.25
2006-07-11,1275.25,1277.0,1267.5,1274.75
2006-07-12,1280.75,1281.5,1264.75,1265.5
2006-07-13,1261.5,1264.0,1250.0,1251.5
2006-07-14,1247.0,1251.0,1235.0,1241.0
2006-07-17,1239.5,1247.5,1238.0,1241.75
2006-07-18,1241.75,1246.75,1231.0,1239.5
2006-07-19,1249.75,1269.0,1244.0,1267.75
2006-07-20,1267.5,1269.0,1258.25,1259.0
2006-07-21,1255.5,1259.5,1244.0,1246.25
2006-07-24,1249.75,1266.5,1249.5,1264.25
2006-07-25,1266.5,1273.25,1262.5,1268.75
2006-07-26,1271.0,1279.75,1266.75,1278.0
2006-07-27,1277.75,1281.75,1268.25,1271.25
2006-07-28,1273.0,1285.25,1271.0,1283.5
2006-07-31,1281.5,1283.5,1279.0,1281.5
2006-08-01,1281.0,1283.0,1270.25,1272.75
2006-08-02,1278.25,1288.25,1277.5,1283.0
2006-08-03,1278.0,1289.0,1274.75,1287.75
2006-08-04,1288.0,1297.75,1278.25,1279.0
2006-08-07,1280.75,1283.75,1278.25,1279.5
2006-08-08,1284.75,1287.75,1273.5,1278.0
2006-08-09,1283.25,1288.25,1274.5,1275.0
2006-08-10,1265.75,1276.5,1264.75,1273.0
2006-08-11,1275.25,1276.25,1265.75,1268.75
2006-08-14,1278.5,1283.25,1273.25,1274.0
2006-08-15,1275.5,1288.75,1275.5,1288.25
2006-08-16,1287.75,1298.75,1287.5,1297.75
2006-08-17,1296.5,1304.75,1295.5,1300.25
2006-08-18,1299.75,1304.5,1296.75,1303.0
2006-08-21,1303.0,1303.5,1298.5,1300.75
2006-08-22,1300.0,1305.75,1297.25,1301.25
2006-08-23,1301.25,1304.25,1291.75,1292.0
2006-08-24,1298.5,1300.75,1293.5,1298.75
2006-08-25,1296.75,1301.75,1294.75,1298.5
2006-08-28,1297.0,1307.5,1295.5,1306.25
2006-08-29,1304.5,1305.5,1297.0,1303.0
2006-08-30,1305.5,1308.75,1303.75,1306.25
2006-08-31,1305.0,1308.25,1304.0,1307.0
2006-09-01,1307.25,1314.0,1305.5,1311.75
2006-09-04,1315.0,1316.75,1314.25,1316.25
2006-09-05,1314.25,1316.5,1310.0,1316.0
2006-09-06,1309.75,1310.0,1301.0,1301.75
2006-09-07,1309.0,1313.75,1304.0,1310.25
2006-09-08,1310.0,1312.5,1306.25,1311.0
2006-09-11,1307.0,1314.75,1302.5,1312.25
2006-09-12,1311.25,1326.25,1310.25,1325.75
2006-09-13,1324.5,1332.0,1322.25,1331.25
2006-09-14,1330.0,1330.0,1324.5,1326.5
2006-09-15,1330.75,1336.75,1329.5,1332.5
2006-09-18,1332.5,1336.5,1329.0,1331.0
2006-09-19,1330.5,1334.5,1322.75,1325.0
2006-09-20,1334.75,1339.75,1332.25,1335.25
2006-09-21,1339.0,1339.5,1327.75,1328.25
2006-09-22,1326.5,1328.75,1321.0,1322.75
2006-09-25,1330.5,1339.25,1321.5,1338.25
2006-09-26,1336.75,1345.5,1335.0,1344.25
2006-09-27,1348.5,1350.25,1343.25,1345.75
2006-09-28,1348.5,1350.0,1343.0,1348.5
2006-09-29,1349.5,1350.5,1346.0,1347.0
2006-10-02,1344.0,1348.25,1339.25,1340.0
2006-10-03,1338.5,1347.75,1336.0,1346.0
2006-10-04,1342.75,1357.0,1339.75,1356.5
2006-10-05,1357.25,1360.75,1356.5,1360.25
2006-10-06,1360.25,1360.75,1352.5,1358.25
2006-10-09,1355.75,1361.75,1355.0,1360.75
2006-10-10,1360.25,1363.25,1357.0,1360.25
2006-10-11,1356.75,1362.5,1351.0,1355.5
2006-10-12,1361.0,1369.25,1360.5,1368.5
2006-10-13,1369.75,1374.75,1368.0,1370.5
2006-10-16,1374.25,1377.0,1371.5,1376.25
2006-10-17,1372.25,1373.0,1364.0,1370.75
2006-10-18,1373.0,1380.25,1367.75,1373.0
2006-10-19,1373.0,1375.5,1369.0,1373.0
2006-10-20,1373.75,1375.5,1369.75,1373.0
2006-10-23,1374.25,1384.5,1370.0,1381.75
2006-10-24,1378.75,1383.0,1378.0,1381.5
2006-10-25,1384.75,1389.5,1381.25,1386.75
2006-10-26,1392.5,1395.0,1385.0,1394.75
2006-10-27,1391.25,1392.25,1381.5,1384.0
2006-10-30,1382.5,1387.0,1378.75,1385.0
2006-10-31,1386.0,1387.25,1377.0,1380.25
2006-11-01,1386.75,1387.5,1374.0,1374.25
2006-11-02,1374.5,1374.5,1367.25,1369.25
2006-11-03,1372.25,1377.25,1365.5,1369.75
2006-11-06,1373.0,1384.25,1372.25,1383.5
2006-11-07,1385.75,1393.0,1383.25,1389.5
2006-11-08,1384.0,1393.25,1380.25,1391.5
2006-11-09,1392.0,1393.75,1382.75,1384.75
2006-11-10,1384.75,1385.5,1379.25,1383.5
2006-11-13,1383.0,1392.25,1382.5,1390.5
2006-11-14,1391.0,1397.5,1383.0,1396.75
2006-11-15,1397.5,1405.75,1396.25,1401.25
2006-11-16,1401.0,1408.0,1401.0,1404.75
2006-11-17,1402.75,1405.0,1398.0,1403.75
2006-11-20,1403.5,1408.0,1401.25,1403.75
2006-11-21,1406.0,1406.5,1402.75,1405.0
2006-11-22,1407.5,1411.25,1404.5,1408.25
2006-11-23,1406.25,1408.0,1405.75,1407.25
2006-11-24,1402.0,1408.0,1400.5,1403.0
2006-11-27,1402.0,1402.75,1383.5,1384.25
2006-11-28,1383.0,1389.75,1378.5,1387.25
2006-11-29,1392.25,1402.5,1392.0,1400.5
2006-11-30,1405.5,1408.0,1395.5,1407.0
2006-12-01,1403.75,1404.5,1387.5,1390.25
2006-12-04,1399.75,1413.5,1399.25,1413.25
2006-12-05,1411.25,1417.5,1410.25,1415.75
2006-12-06,1414.5,1417.75,1412.0,1415.25
2006-12-07,1415.75,1431.25,1415.5,1422.5
2006-12-08,1422.25,1427.75,1416.25,1424.75
2006-12-11,1424.25,1429.25,1421.5,1426.0
2006-12-12,1425.25,1427.0,1417.0,1423.75
2006-12-13,1428.25,1431.0,1423.0,1424.25
2006-12-14,1427.5,1439.5,1425.0,1439.0
2006-12-15,1438.0,1445.0,1437.5,1440.75
2006-12-18,1440.25,1444.0,1433.75,1434.75
2006-12-19,1432.75,1437.75,1426.5,1437.0
2006-12-20,1438.0,1440.5,1434.25,1436.0
2006-12-21,1437.25,1438.0,1426.75,1429.25
2006-12-22,1430.5,1431.75,1421.0,1424.0
