STUB_1,12/27/19,12/20/19,Difference,12/28/18,Percent Change,12/29/17,Percent Change.1
Crude Oil,"1,064.863","1,076.326",-11.463,"1,090.557",-2.4,"1,088.211",-2.1
Commercial (Excluding SPR),429.896,441.359,-11.463,441.418,-2.6,424.463,1.3
East Coast (PADD 1),9.833,9.958,-0.125,13.267,-25.9,11.498,-14.5
Midwest (PADD 2),125.860,126.294,-0.434,130.347,-3.4,133.352,-5.6
Cushing,36.322,37.771,-1.449,41.932,-13.4,48.973,-25.8
Gulf Coast (PADD 3),219.267,230.365,-11.097999999999999,229.868,-4.6,206.173,6.4
Rocky Mountain (PADD 4),22.923,23.432,-0.509,22.234,3.1,22.417,2.3
West Coast (PADD 5),52.012,51.310,0.7020000000000001,45.701,13.8,51.024,1.9
Alaska In-Transit,6.400,4.647,1.7530000000000001,3.447,85.7,5.650,13.3
SPR,634.967,634.967,0.0,649.139,-2.2,663.748,-4.3
Total Motor Gasoline,242.472,239.260,3.2119999999999997,239.996,1.0,233.187,4.0
Reformulated,0.037,0.042,-0.005,0.049,-24.5,0.037,0.0
Conventional,26.144,24.717,1.4269999999999998,25.865,1.1,24.950,4.8
Blending Components,216.291,214.501,1.79,214.082,1.0,208.201,3.9
Fuel Ethanol,21.034,21.469,-0.435,23.162,-9.2,22.619,-7.0
Kerosene-Type Jet Fuel,39.369,39.398,-0.028999999999999998,40.712,-3.3,40.649,-3.1
Distillate Fuel Oil,133.720,124.944,8.776,129.431,3.3,138.834,-3.7
15 ppm sulfur and Under,117.321,108.337,8.984,114.233,2.7,121.590,-3.5
> 15 ppm to 500 ppm sulfur,5.352,5.009,0.34299999999999997,4.649,15.1,7.470,-28.4
> 500 ppm sulfur,11.047,11.599,-0.552,10.550,4.7,9.774,13.0
Residual Fuel Oil,30.031,31.895,-1.864,27.883,7.7,30.385,-1.2
Propane/Propylene,88.186,88.398,-0.212,70.653,24.8,67.976,29.7
Other Oils ,282.360,283.232,-0.872,268.906,5.0,267.158,5.7
Unfinished Oils,90.044,91.220,-1.176,85.916,4.8,84.124,7.0
Total Stocks (Including SPR),"1,902.036","1,904.923",-2.887,"1,891.300",0.6,"1,889.019",0.7
Total Stocks (Excluding SPR),"1,267.069","1,269.956",-2.887,"1,242.161",2.0,"1,225.271",3.4
